时间顺序排序	地区	正式指标	正式数值	正式单位
2001年	万州区	电视覆盖率	95	%
2002年	万州区	电视覆盖率	96	%
2003年	万州区	电视覆盖率	96	%
2004年	万州区	电视覆盖率	95.2	%
2005年	万州区	电视覆盖率	95	%
2006年	万州区	电视覆盖率	95.2	%
2007年	万州区	电视覆盖率	95	%
2008年	万州区	电视覆盖率	96.5	%
2009年	万州区	电视覆盖率	96.5	%
2010年	万州区	电视覆盖率	96.57	%
2011年	万州区	电视覆盖率	98.5	%
2012年	万州区	电视覆盖率	99	%
2013年	万州区	电视覆盖率	99	%
2014年	万州区	电视覆盖率	99	%
2001年	万州区	房屋竣工面积	440.2	万平方米
2002年	万州区	房屋竣工面积	421.2	万平方米
2003年	万州区	房屋竣工面积	347	万平方米
2004年	万州区	房屋竣工面积	369.6	万平方米
2005年	万州区	房屋竣工面积	383.3	万平方米
2006年	万州区	房屋竣工面积	366.9	万平方米
2007年	万州区	房屋竣工面积	462.5	万平方米
2008年	万州区	房屋竣工面积	539	万平方米
2009年	万州区	房屋竣工面积	755.2	万平方米
2010年	万州区	房屋竣工面积	567.6	万平方米
2011年	万州区	房屋竣工面积	812.8248	万平方米
2012年	万州区	房屋竣工面积	959.24	万平方米
2013年	万州区	房屋竣工面积	918.5801	万平方米
2014年	万州区	房屋竣工面积	846.02	万平方米
2000年	万州区	人口出生率	11.51	‰
2001年	万州区	人口出生率	10.35	‰
2002年	万州区	人口出生率	9.71	‰
2011年	万州区	人口出生率	10.48	‰
2012年	万州区	人口出生率	9.15	‰
2013年	万州区	人口出生率	8.56	‰
2014年	万州区	人口出生率	10.25	‰
2000年	万州区	工业增加值	18.2872	亿元
2001年	万州区	工业增加值	19.9138	亿元
2002年	万州区	工业增加值	22.5224	亿元
2003年	万州区	工业增加值	25.7	亿元
2004年	万州区	工业增加值	30.9	亿元
2005年	万州区	工业增加值	33.0282	亿元
2006年	万州区	工业增加值	42.212	亿元
2007年	万州区	工业增加值	59.3189	亿元
2008年	万州区	工业增加值	97.05	亿元
2009年	万州区	工业增加值	171.89	亿元
2010年	万州区	工业增加值	235.1435	亿元
2011年	万州区	工业增加值	301.0118	亿元
2012年	万州区	工业增加值	292.5814	亿元
2013年	万州区	工业增加值	293.1601	亿元
2014年	万州区	工业增加值	312.2485	亿元
2000年	万州区	总人口数	167.28	万人
2001年	万州区	总人口数	167.95	万人
2002年	万州区	总人口数	168.84	万人
2003年	万州区	总人口数	169.71	万人
2004年	万州区	总人口数	169.7	万人
2005年	万州区	总人口数	170.7	万人
2006年	万州区	总人口数	171.6	万人
2007年	万州区	总人口数	173	万人
2008年	万州区	总人口数	172.54	万人
2009年	万州区	总人口数	172.82	万人
2010年	万州区	总人口数	173.32	万人
2011年	万州区	总人口数	174.6	万人
2012年	万州区	总人口数	175.09	万人
2013年	万州区	总人口数	175.35	万人
2014年	万州区	总人口数	175.77	万人
2000年	万州区	GDP	64.9227	亿元
2001年	万州区	GDP	73.1981	亿元
2002年	万州区	GDP	81.6	亿元
2004年	万州区	GDP	109.3	亿元
2005年	万州区	GDP	133.4488	亿元
2006年	万州区	GDP	152.3	亿元
2007年	万州区	GDP	190.5	亿元
2008年	万州区	GDP	256.06	亿元
2009年	万州区	GDP	386.4546	亿元
2010年	万州区	GDP	500.1318	亿元
2011年	万州区	GDP	622.5938	亿元
2012年	万州区	GDP	662.8618	亿元
2013年	万州区	GDP	702.0296	亿元
2014年	万州区	GDP	771.2188	亿元
